id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
123159,UCSB,IZC,,PreservedSpecimen,95778f65-e4a3-42e7-acaa-6cc0b94b69d2,UCSB-IZC00026898,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,Elaine Tan,2018,,,,,,Elena Erkaneff,,,,5/23/2016,2016,5,23,144,,25-May-16,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Devereux,,,,34.413571,-119.877089,WGS84,,,,,GeoLocate,,Devereux Lagoon,,,,,,,,,entan,2/21/2019 17:16,,1,urn:uuid:95778f65-e4a3-42e7-acaa-6cc0b94b69d2,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123159
123160,UCSB,IZC,,PreservedSpecimen,76973e53-16a8-4155-80cc-4f4852c6e783,UCSB-IZC00026601,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,Elaine Tan,2018,,,,,,Jordan Caldwell,,,,5/9/2018,2018,5,9,129,,May 9 2018,,chaparral,,,,,,,,,,,,,,Sweep net,,,United States,California,Santa Barbara,,Refugio State Park,,,,34.463888,-120.069083,WGS84,56,,,,GeoLocate,,Refugio State Beach,,,,,,,,,entan,2/21/2019 17:15,,1,urn:uuid:76973e53-16a8-4155-80cc-4f4852c6e783,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123160
123172,UCSB,IZC,,PreservedSpecimen,1e093ca7-ce07-4ed9-a706-dc370051fdb4,UCSB-IZC00026590,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Howarth,,,14,12/3/1998,1998,12,3,337,,3-Dec-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:1e093ca7-ce07-4ed9-a706-dc370051fdb4,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123172
123173,UCSB,IZC,,PreservedSpecimen,13bc4ca1-23b7-4b9b-b3da-fef836e09481,UCSB-IZC00026640,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Emily Hebard,,,4,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:13bc4ca1-23b7-4b9b-b3da-fef836e09481,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123173
123174,UCSB,IZC,,PreservedSpecimen,6d8c2cf8-4b80-4eb8-8b38-8faab7f63ea6,UCSB-IZC00026626,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Emily Hebard,,,4,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:6d8c2cf8-4b80-4eb8-8b38-8faab7f63ea6,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123174
123175,UCSB,IZC,,PreservedSpecimen,25fb761b-be49-4ba9-92e0-05815fe56da2,UCSB-IZC00026630,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:25fb761b-be49-4ba9-92e0-05815fe56da2,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123175
123176,UCSB,IZC,,PreservedSpecimen,58045d97-86e3-4138-a314-d49a81a217b9,UCSB-IZC00026624,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:58045d97-86e3-4138-a314-d49a81a217b9,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123176
123177,UCSB,IZC,,PreservedSpecimen,98180125-7fde-4572-baab-f6dd8ddf510e,UCSB-IZC00026884,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:98180125-7fde-4572-baab-f6dd8ddf510e,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123177
123178,UCSB,IZC,,PreservedSpecimen,17c9f5c4-a585-48f6-a6e2-fc55af34ebfa,UCSB-IZC00026932,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:17c9f5c4-a585-48f6-a6e2-fc55af34ebfa,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123178
123179,UCSB,IZC,,PreservedSpecimen,c889729b-072a-46af-8558-76de1e6d9f07,UCSB-IZC00026635,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Howarth,,,,12/3/1998,1998,12,3,337,,3-Dec-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:c889729b-072a-46af-8558-76de1e6d9f07,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123179
