id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
66,UCSB,IZC,,PreservedSpecimen,21ec7969-0f0e-4bfd-88bd-b12ae993e8ca,"UCSB-IZC 00000174",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,,,,,1981-05-02,1981,5,2,122,,,,,,,,,,,,,,,,,,,,,"United States",California,Riverside,,"El Carissa Campground",,0,,,,,,,,,,,,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:21ec7969-0f0e-4bfd-88bd-b12ae993e8ca,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=66
67,UCSB,IZC,,PreservedSpecimen,a21576d6-7c9e-4624-ad2e-1556bbc9cb3a,"UCSB-IZC 00000173",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,,,,,1975-04-00,1975,4,,,,,,,,,,,,,,,,,,Female,,,,,"United States",California,"Santa Barbara",,"Goddard Campground",,0,,34.77886,-119.78894,,55923,,"rbehm (2017-10-23 22:46:48)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:a21576d6-7c9e-4624-ad2e-1556bbc9cb3a,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=67
68,UCSB,IZC,,PreservedSpecimen,f01524d9-f6a6-4885-a778-8f802f855c67,"UCSB-IZC 00000172",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,"Nathaniel Mooi",,,,2016-07-15,2016,7,,197,,,,,,,,,,,,,,,,,,"Sweep Net",,,"United States",California,"Santa Barbara",Goleta,"Fortuna Road",,0,,34.4121,-119.8678,WGS84,,,,,"GPS, on label",,,1,,,,,,,,,"2018-12-18 01:47:19",,1,urn:uuid:f01524d9-f6a6-4885-a778-8f802f855c67,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=68
69,UCSB,IZC,,PreservedSpecimen,387f1cba-7ad3-4aa2-8dcc-a52e9e12011b,"UCSB-IZC 00000171",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,"Rachel Behm",,,,,,,"Alain Garkanian",,,,2016-07-16,2016,7,16,198,,,,,,,,,,,,,,,,,,"Mesh Net",,,"United States",California,"Santa Barbara","Isla Vista","Isla Vista",,0,,34.4152,-119.8434,WGS84,,,,,,,,5,,,,,5m,,,,"2018-09-28 18:03:03",,1,urn:uuid:387f1cba-7ad3-4aa2-8dcc-a52e9e12011b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=69
70,UCSB,IZC,,PreservedSpecimen,948c88b8-5625-40a7-b8e3-d79da81ac188,"UCSB-IZC 00000170",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,,,,,1983-05-28,1983,5,28,148,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Rattlesnake Canyon",,0,,34.74554,-119.705966,,51520,,"rbehm (2017-10-23 22:47:43)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2017-10-23 22:47:43",,1,urn:uuid:948c88b8-5625-40a7-b8e3-d79da81ac188,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=70
71,UCSB,IZC,,PreservedSpecimen,53906f7f-bd2f-4864-8d7b-e8ad8b418fd7,"UCSB-IZC 00000169",,Animalia,Arthropoda,Insecta,Diptera,Mycetophilidae,Mycetophilidae,3538,,,,,,,,,,,,,,,,,1973-05-22,1973,5,22,142,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Santa Cruz Island",,0,,34.008126,-119.724201,,20754,,"rbehm (2017-10-07 20:01:07)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2017-10-07 20:01:07",,1,urn:uuid:53906f7f-bd2f-4864-8d7b-e8ad8b418fd7,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=71
72,UCSB,IZC,,PreservedSpecimen,7eef3024-e1e2-45e3-bbec-c7a5986bd4ae,"UCSB-IZC 00000168",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,,,,,1975-05-00,1975,5,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Los Angeles",,"El Monte",,0,,34.068621,-118.027567,,4511,,"rbehm (2017-10-07 21:30:07)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2017-10-07 21:30:07",,1,urn:uuid:7eef3024-e1e2-45e3-bbec-c7a5986bd4ae,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=72
73,UCSB,IZC,,PreservedSpecimen,6b9acafe-06fd-4bc8-abea-3984ccdc0ac6,"UCSB-IZC 00000167",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"University of California Santa Barbara",,0,,34.412713,-119.848843,,1009,,"seltmann (2017-04-18 16:49:23)",,"georef batch tool 2017-04-18; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2017-07-20 12:59:59",,1,urn:uuid:6b9acafe-06fd-4bc8-abea-3984ccdc0ac6,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=73
74,UCSB,IZC,,PreservedSpecimen,01290ff5-d3bb-4acc-b791-b2500d247854,"UCSB-IZC 00000166",,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,Sciaridae,3539,,,,,,,,,,,,,,,,,1975-05-00,1975,5,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",Goleta,Ellwood,,0,,34.431662,-119.887917,,3036,,"rbehm (2017-10-07 21:27:25)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2018-08-11 19:48:02",,1,urn:uuid:01290ff5-d3bb-4acc-b791-b2500d247854,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=74
75,UCSB,IZC,,PreservedSpecimen,0ce07d42-9205-4bb6-a90f-bd5729577931,"UCSB-IZC 00000165",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017,,,,,,,,,,1985-05-26,1985,5,26,146,,,,,,,,,,,,,,,,,,,,,"United States",California,Inyo,,"Onion Valley",,0,,,,,,,,,,,,2774,,,,,9100ft,,,,"2018-08-11 20:23:07",,1,urn:uuid:0ce07d42-9205-4bb6-a90f-bd5729577931,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=75
76,UCSB,IZC,,PreservedSpecimen,793c8265-9121-4146-b23d-faf3fe4bfed8,"UCSB-IZC 00000164",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:793c8265-9121-4146-b23d-faf3fe4bfed8,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=76
77,UCSB,IZC,,PreservedSpecimen,7c2f6bc4-395b-4b98-b6aa-1c7163648687,"UCSB-IZC 00000163",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017,,,,,,,,,,1973-05-13,1973,5,13,133,,,,,,,,,,,,,,,,,,,,,"United States",California,Ventura,,"Mt. Pinos",,0,,34.811645,-119.14733,,4263,,"rbehm (2017-10-07 22:22:19)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2017-10-07 22:22:19",,1,urn:uuid:7c2f6bc4-395b-4b98-b6aa-1c7163648687,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=77
78,UCSB,IZC,,PreservedSpecimen,5e4fed83-4e66-4e36-9977-a53bbc62d10b,"UCSB-IZC 00000162",,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Cecidomyiidae,3540,,,,,,,,,,,,,"Paul K. Seaton",,,,1966-03-00,1966,3,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",Goleta,"University of California Santa Barbara",,0,,34.412713,-119.848843,,1009,,"seltmann (2017-04-18 16:49:23)",,"georef batch tool 2017-04-18; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2018-04-17 13:31:15",,1,urn:uuid:5e4fed83-4e66-4e36-9977-a53bbc62d10b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=78
79,UCSB,IZC,,PreservedSpecimen,b07fa050-49a8-43a1-81c8-74249ca9bd53,"UCSB-IZC 00000161",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",,,,,,,"R. B. Castro",,,,1986-05-29,1986,5,29,149,,,"hard to read written location: south west?",,,,,,,,,,,,,,,,,,"United States",California,"San Bernardino",,"10 miles SW of Lucerne Valley",,0,,,,,,,,,,,,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:b07fa050-49a8-43a1-81c8-74249ca9bd53,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=79
80,UCSB,IZC,,PreservedSpecimen,bd19263d-5d3e-4daf-9e80-770b757ff3f0,"UCSB-IZC 00000160",,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychodinae,3542,,,,,,,,,,,,,,,,,1975-04-14,1975,4,14,104,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",Goleta,"University of California Santa Barbara",,0,,34.412713,-119.848843,,1009,,"seltmann (2017-04-18 16:49:23)",,"georef batch tool 2017-04-18; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2018-04-17 13:38:00",,1,urn:uuid:bd19263d-5d3e-4daf-9e80-770b757ff3f0,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=80
81,UCSB,IZC,,PreservedSpecimen,a27b828f-e1db-4dfa-a7ca-17f897d43ad7,"UCSB-IZC 00000159",,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,Sciaridae,3539,,,,,,,,,,,,,"Paul K. Seaton",,,,1966-03-00,1966,3,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Oso Campground",,0,,34.631684,-119.863098,,70777,,"rbehm (2017-10-23 23:32:39)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2017-10-23 23:32:39",,1,urn:uuid:a27b828f-e1db-4dfa-a7ca-17f897d43ad7,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=81
82,UCSB,IZC,,PreservedSpecimen,e40e2ef1-2a7b-4d54-a70c-20a460b380cc,"UCSB-IZC 00000158",,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,Sciaridae,3539,,,,,,,,,,,,,P.B.,,,,1973-04-15,1973,4,15,105,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara","Isla Vista","Isla Vista",,0,,34.413329,-119.860972,,2298,,"rbehm (2017-10-07 13:58:16)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2018-04-17 13:39:39",,1,urn:uuid:e40e2ef1-2a7b-4d54-a70c-20a460b380cc,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=82
83,UCSB,IZC,,PreservedSpecimen,c4be54dc-4d97-4171-8ac2-69cde9687d71,"UCSB-IZC 00000157",,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Cecidomyiidae,3540,,,,,,,,,,,,,,,,,1975-05-00,1975,5,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Goddard Campground",,0,,34.77886,-119.78894,,55923,,"rbehm (2017-10-23 23:02:49)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2017-10-23 23:02:49",,1,urn:uuid:c4be54dc-4d97-4171-8ac2-69cde9687d71,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=83
84,UCSB,IZC,,PreservedSpecimen,89b0a8f9-30c1-47bc-b54d-24238e17e185,"UCSB-IZC 00000156",,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychodinae,3542,,,,,,,,,,,,,,,,,1981-05-27,1981,5,27,147,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Refugio Canyon",,0,,34.499476,-120.077838,,8159,,"rbehm (2017-10-23 23:20:29)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2017-10-23 23:20:29",,1,urn:uuid:89b0a8f9-30c1-47bc-b54d-24238e17e185,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=84
85,UCSB,IZC,,PreservedSpecimen,159ce346-53e2-4e38-aedb-817b73b7d902,"UCSB-IZC 00000155",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,"D. Soapy",,,,1954-04-03,1954,4,3,93,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Santa Barbara",,0,,34.447615,-119.78477,,12754,,"rbehm (2017-10-07 19:54:13)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:159ce346-53e2-4e38-aedb-817b73b7d902,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=85
86,UCSB,IZC,,PreservedSpecimen,75f84c97-4cc1-42f1-ba36-bf71380a79d1,"UCSB-IZC 00000154",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,,,,,1964-04-16,1964,4,16,107,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Santa Ynez Valley",,0,,34.61936,-120.07713,,4349,,"rbehm (2017-10-23 22:48:21)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:75f84c97-4cc1-42f1-ba36-bf71380a79d1,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=86
87,UCSB,IZC,,PreservedSpecimen,2892357e-cae9-48bb-9b58-ec20697a9041,"UCSB-IZC 00000153",,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychodidae,3541,,,,,,,,,,,,,,,,,1953-05-16,1983,5,16,136,,,"hard to read date: assumed 1933",,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara","Isla Vista","Isla Vista",,0,,34.413329,-119.860972,,2298,,"rbehm (2017-10-07 13:58:16)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2018-04-17 13:43:36",,1,urn:uuid:2892357e-cae9-48bb-9b58-ec20697a9041,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=87
88,UCSB,IZC,,PreservedSpecimen,ae099129-da93-435b-b364-3721349411a2,"UCSB-IZC 00000152",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,"Paul K. Seaton",,,,1966-03-00,1966,3,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Oso Campground",,0,,34.631684,-119.863098,,70777,,"rbehm (2017-10-23 22:47:03)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:ae099129-da93-435b-b364-3721349411a2,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=88
89,UCSB,IZC,,PreservedSpecimen,f2617f85-1d3a-4069-beea-a1a221590d94,"UCSB-IZC 00000150",,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychodinae,3542,,,,,,,,,,,,,"Paul K. Seaton",,,,1966-05-00,1966,5,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",Goleta,"University of California Santa Barbara",,0,,34.412713,-119.848843,,1009,,"seltmann (2017-04-18 16:49:23)",,"georef batch tool 2017-04-18; GeoLocate","reviewed - high confidence",,,,,,,,,,seltmann,"2018-04-17 13:44:45",,1,urn:uuid:f2617f85-1d3a-4069-beea-a1a221590d94,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=89
90,UCSB,IZC,,PreservedSpecimen,5ed3b594-2506-449a-9a1f-aed3e8f4ad5e,"UCSB-IZC 00000149",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,3537,"Geoffroy, 1762",Bibio,,,,"Rachel Behm",2017-00-00,,,,,,,,,,1975-04-00,1975,4,,,,,,,,,,,,,,,,,,Male,,,,,"United States",California,"Santa Barbara",,"Goddard Campground",,0,,34.77886,-119.78894,,55923,,"rbehm (2017-10-23 22:46:48)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2018-08-11 19:19:31",,1,urn:uuid:5ed3b594-2506-449a-9a1f-aed3e8f4ad5e,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=90
